client_id,duration_count,duration_mean,Class
31499,3.0,15.285714285714286,Fast Repeater
31502,2.0,16.0,Fast Repeater
31597,2.25,264.0,Slow Repeater
31715,1.0,33.8,Slow Passer
31766,1.5,22.9,Fast Repeater
32197,1.0,42.6,Slow Passer
32305,1.0,37.0,Slow Passer
32471,3.0,14.555555555555555,Fast Repeater
32521,1.0,39.6,Slow Passer
32746,4.0,19.0,Fast Repeater
32859,1.0,38.0,Slow Passer
33190,1.0,21.75,Fast Passer
33265,1.0,20.0,Fast Passer
33463,2.0,15.833333333333334,Fast Repeater
33472,1.0,20.5,Fast Passer
33752,1.0,20.4,Fast Passer
34067,2.0,32.666666666666664,Slow Repeater
34101,4.0,999.0,Slow Repeater
34267,1.0,22.0,Fast Passer
34501,2.0,501.5,Slow Repeater
34603,1.0,47.0,Slow Passer
34608,1.0,11.0,Fast Passer
34631,3.0,23.285714285714285,Fast Repeater
35010,2.0,18.4,Fast Repeater
35087,1.0,12.0,Fast Passer
35091,2.0,2.6666666666666665,Fast Repeater
35138,1.0,49.0,Slow Passer
35181,1.5,34.46666666666667,Slow Repeater
35257,1.0,22.2,Fast Passer
35346,1.0,34.6,Slow Passer
35417,1.0,24.2,Fast Passer
35476,2.5,7.75,Fast Repeater
35922,2.0,32.4,Slow Repeater
36109,1.0,36.0,Slow Passer
36342,1.0,21.25,Fast Passer
36363,1.0,53.4,Slow Passer
36430,1.0,35.0,Slow Passer
36432,2.0,7.75,Fast Repeater
36555,5.0,34.111111111111114,Slow Repeater
36986,2.0,346.47222222222223,Slow Repeater
37064,1.0,27.5,Fast Passer
37295,1.0,27.5,Fast Passer
37408,1.0,67.0,Slow Passer
37423,1.75,262.0833333333333,Slow Repeater
37667,1.0,24.6,Fast Passer
37691,3.0,2.5,Fast Repeater
37705,1.0,41.5,Slow Passer
37897,1.0,19.6,Fast Passer
38275,1.5,999.0,Slow Repeater
38283,3.0,22.875,Fast Repeater
38340,1.0,24.2,Fast Passer
38551,1.0,522.4,Slow Passer
38685,1.0,39.8,Slow Passer
38714,1.0,22.8,Fast Passer
38775,2.0,999.0,Slow Repeater
38930,1.0,18.142857142857142,Fast Passer
38963,1.0,34.666666666666664,Slow Passer
39004,1.0,999.0,Slow Passer
39075,1.0,30.2,Slow Passer
39566,1.0,41.8,Slow Passer
39968,2.0,999.0,Slow Repeater
40283,5.0,999.0,Slow Repeater
40439,1.0,14.2,Fast Passer
40969,4.0,0.6,Fast Repeater
41122,1.0,30.4,Slow Passer
41142,3.5,14.585714285714287,Fast Repeater
41199,1.0,27.333333333333332,Fast Passer
41237,1.0,37.333333333333336,Slow Passer
41516,1.0,15.8,Fast Passer
41652,1.0,13.0,Fast Passer
41924,1.6666666666666667,669.1666666666666,Slow Repeater
42082,2.0,23.5,Fast Repeater
42296,1.5,999.0,Slow Repeater
